Property_id,lat,lng,addr_street,suburb,price,property_type,year,bedrooms,bathrooms,parking_space,Shopping_center_id,Distance_to_sc,Train_station_id,Distance_to_train_station,travel_min_to_CBD,Hospital_id,Distance_to_hospital,Supermarket_id,Distance_to_supermaket,Over_ave_price
62703,-37.827852,145.23343799999995,20 Valerie Court,HEATHMONT,14569000,house,2015,3,2,3,SC_032,1.7292,19871,0.9789,0,hospital_105,2.0445,S_040,1.8173,True
36045,-37.680666,145.03649,7 Bates Avenue,THOMASTOWN,3465000,house,2013,3,1,2,SC_062,5.3912,20007,1.9571,0,hospital_041,2.6222,S_228,1.9297,False
66923,-37.739788,145.3456768,11 Glenloth Avenue,LILYDALE,6825000,house,2012,3,2,2,SC_084,3.4618,19876,1.7601,0,hospital_151,1.7237,S_233,2.0627,False
54202,-37.817858,145.02926100000005,1A Linda Crescent,HAWTHORN,21000000,house,2014,3,3,3,SC_083,0.6277,19905,0.7128,18,hospital_086,0.2203,S_208,0.5934,True
76309,-37.89227,145.079422,563 Neerim Road,HUGHESDALE,12000000,house,2008,3,1,1,SC_087,0.4692,19918,0.3304,32,hospital_166,2.4588,S_167,0.469,True
76741,-37.922223,145.111164,29 Harlington Street,CLAYTON,10880000,house,2010,3,1,2,SC_087,4.5725,19915,0.8672,39,hospital_076,0.8278,S_169,0.7745,True
17956,-37.692749,144.926345,1/3 Evans Court,BROADMEADOWS,3740000,house,2015,3,2,3,SC_059,3.6808,20031,0.9617,34,hospital_104,4.7102,S_209,1.4895,False
6943,-37.792575,144.837339,7 Drayton Street,SUNSHINE,7275000,house,2012,4,2,2,SC_102,1.1878,20021,0.5967,25,hospital_174,1.7101,S_080,1.2739,True
71843,-37.84983826,145.2306519,9 Badminton Court,WANTIRNA,2400000,house,2005,3,1,0,SC_032,4.1314,19871,2.6889,0,hospital_179,0.278,S_226,2.0971,False
93667,-38.00522232,145.08901980000005,77 Barkly Street,MORDIALLOC,7140000,house,2009,4,2,3,SC_003,3.7949,19863,0.1928,44,hospital_001,2.158,S_119,0.3764,False
51893,-37.793016,145.20813700000005,312-314 Oban Road,DONVALE,19040000,house,2013,5,3,2,SC_032,2.8522,19901,2.9097,0,hospital_070,2.257,S_040,2.7804,True
79419,-37.95838547,145.1588287,9 Burrapike Avenue,SPRINGVALE,2300000,house,2006,2,1,0,SC_057,4.029,19891,0.4086,46,hospital_124,2.2188,S_075,0.8364,False
25050,-37.60603714,144.9126129,10 Tournament Rise,CRAIGIEBURN,2232000,house,2008,3,2,2,SC_016,1.4691,40221,2.7486,45,hospital_104,5.0188,S_178,2.3137,False
73525,-37.863776,145.277394,30 Stonehaven Avenue,BORONIA,5525000,house,2013,3,2,2,SC_049,4.3556,19869,0.7172,0,hospital_049,0.4852,S_024,0.6734,False
41535,-37.744979,145.085983,120 Buckingham Drive,HEIDELBERG,11040000,house,2012,3,1,2,SC_017,1.9499,19936,1.7622,28,hospital_066,2.4175,S_100,2.2088,True
23515,-37.646159,144.907598,23 Firth Way,GREENVALE,13260000,house,2014,4,3,3,SC_072,1.3862,44817,2.3187,39,hospital_104,1.2376,S_211,2.3731,True
59585,-37.830451,145.195511,2/1 Premier Avenue,MITCHAM,8470000,house,2010,3,2,2,SC_088,1.8701,19900,1.4194,0,hospital_010,2.2294,S_202,1.8458,False
88608,-37.946425,145.027935,2/2 Fuge Street,HIGHETT,6192000,house,2016,3,1,1,SC_079,1.1919,19872,1.2435,41,hospital_110,1.6793,S_214,0.5218,False
78,-37.829769,144.94963700000002,83 Montague Street,SOUTHBANK,12750000,house,2015,3,1,1,SC_076,0.4931,22180,1.3264,4,hospital_176,0.7426,S_016,0.6952,False
36309,-37.665028,145.033953,232 Darebin Drive,LALOR,3500000,house,2012,3,1,2,SC_062,4.7797,20005,1.4471,0,hospital_053,2.147,S_229,1.2489,False
72990,-37.865417,145.287945,15 Hastings Avenue,BORONIA,3717000,house,2011,3,2,2,SC_049,3.687,19869,0.6351,0,hospital_049,0.557,S_146,0.417,False
34897,-37.718168,145.024024,4/24 Charlton Crescent,RESERVOIR,3315000,house,2013,1,1,1,SC_047,2.3356,20010,1.5062,0,hospital_025,1.6915,S_225,0.8573,False
29550,-37.766076,144.998052,17 Gladstone Avenue,NORTHCOTE,15929000,house,2014,3,1,0,SC_103,2.9689,20015,0.2367,0,hospital_035,0.9311,S_105,1.741,True
68566,-37.85933304,145.01184080000004,5 Redcourt Avenue,ARMADALE,19500000,house,2008,4,2,2,SC_066,2.0911,19945,0.7318,23,hospital_132,0.6358,S_115,1.383,False
59580,-37.80696,145.200614,2 Sunninghill Court,MITCHAM,7890000,house,2011,3,2,2,SC_088,2.306,19900,1.4458,0,hospital_070,0.6787,S_040,2.5363,False
61687,-37.823066,145.223535,29 Heywood Street,RINGWOOD,6765000,house,2010,3,1,0,SC_032,1.2384,19902,0.9311,0,hospital_105,2.1716,S_040,1.3195,False
19667,-37.675737,144.90191399999995,24 Kenny Street,WESTMEADOWS,4777000,house,2015,3,2,1,SC_059,2.04,20030,1.759,36,hospital_104,3.2292,S_153,1.7584,True
50914,-37.791465,145.124139,18 Hanke Rd,DONCASTER,12500000,house,2015,4,3,2,SC_091,0.514,20042,3.099,0,hospital_194,2.1656,S_188,0.4972,True
43999,-37.699781,145.119939,1/143 St Helena Road,GREENSBOROUGH,11986000,house,2009,3,2,2,SC_051,4.5537,19985,1.1297,38,hospital_075,1.375,S_210,1.5739,True
